THAI	ROMANIZATION	DEFINITION	NOTES
คุณ	khun	you (polite)	used for both genders; very common polite “you”
สบาย	sà-baai	comfortable; well	appears in “สบายดี”; base adjective
ดี	dii	good; well	modifies many phrases; in greetings means “fine”
ไหม	mái	yes/no question particle	placed at end of a question
ไม่	mâi	no; not	negates verbs/adjectives; tone always falling
ค่ะ	khâ	polite particle (female)	final particle for most polite female speech
ครับ	khráp	polite particle (male)	final particle for most polite male speech
ผม	phǒm	I (male)	male speakers only
ฉัน	chǎn	I (common, esp. female)	general “I” but more common for women
แล้ว	lɛ́ɛo	already; then; and	used in “แล้วคุณล่ะ”
ล่ะ	lâ	and…? / what about…?	follows nouns/pronouns; “แล้ว…ล่ะ?”
ลา	laa	to take leave / depart	used in polite leave-taking; base of “ลาแล้ว”
