Thai Script Word	Type	Thai Script Phrase	Romanization	Definition	Notes
จะ	short phrase	จะไป	jà bpai	will go	จะ is the future marker “will”; goes before the verb
ไป	short phrase	จะไป	jà bpai	will go	Very common “will go”; can be followed by place or time
ไป	short phrase	ไปวิ่ง	bpai wîng	go (to) run	Pattern “ไป + verb” = go do something
วิ่ง	short phrase	ไปวิ่ง	bpai wîng	go (to) run	Often used for exercise/jogging
ไป	short phrase	ไปเดิน	bpai dern	go (to) walk	Can mean go for a walk / stroll
เดิน	short phrase	ไปเดิน	bpai dern	go (to) walk	Used for walking on foot, often relaxed
ผม	short phrase	ผมจะไป	phǒm jà bpai	I (male) will go	Polite male “I”; used by men/boys in most situations
จะ	short phrase	ผมจะไป	phǒm jà bpai	I (male) will go	Future marker; comes between pronoun and verb
ไป	short phrase	ผมจะไป	phǒm jà bpai	I (male) will go	Often followed by destination or time
ฉัน	short phrase	ฉันจะไป	chǎn jà bpai	I (female) will go	Common polite “I” for women; also used in formal speech
จะ	short phrase	ฉันจะไป	chǎn jà bpai	I (female) will go	Same future marker จะ, works the same for any subject
ไป	short phrase	ฉันจะไป	chǎn jà bpai	I (female) will go	Can be expanded: ฉันจะไปไทย “I will go to Thailand”
