Thai Script Word	Type	Thai Script Phrase	Romanization	Definition	Notes
พวก	short phrase	พวกคุณ	phûak khun	you all	พวก makes the pronoun plural
คุณ	short phrase	พวกคุณ	phûak khun	you all	Polite plural “you”
พวก	short phrase	พวกเรา	phûak rao	we all	Explicit plural form
เรา	short phrase	พวกเรา	phûak rao	we all	“We / us”
พวก	short phrase	พวกเขา	phûak kháo	they	Plural marker added
เขา	short phrase	พวกเขา	phûak kháo	they	“They (group of them)”
เรา	long phrase	เราจะไปวิ่ง	rao jà bpai wîng	we will go running	จะ = future marker; ไปวิ่ง = go run
จะ	long phrase	เราจะไปวิ่ง	rao jà bpai wîng	we will go running	Future / intention
ไป	long phrase	เราจะไปวิ่ง	rao jà bpai wîng	we will go running	Go (and)
วิ่ง	long phrase	เราจะไปวิ่ง	rao jà bpai wîng	we will go running	Run/jog
พวก	long phrase	พวกเขายังเดินอยู่	phûak kháo yang dern yùu	they are still walking	ยัง = still; อยู่ = continuous
เขา	long phrase	พวกเขายังเดินอยู่	phûak kháo yang dern yùu	they are still walking	ยัง = still; อยู่ = continuous
ยัง	long phrase	พวกเขายังเดินอยู่	phûak kháo yang dern yùu	they are still walking	Indicates “still”
เดิน	long phrase	พวกเขายังเดินอยู่	phûak kháo yang dern yùu	they are still walking	Walk
อยู่	long phrase	พวกเขายังเดินอยู่	phûak kháo yang dern yùu	they are still walking	Continuous marker
พวก	sentence	พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Future/continuing group “you all”
คุณ	sentence	พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Polite “you” inside plural “พวกคุณ”
ยัง	sentence	พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Still / not done
กิน	sentence	พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Eat
อยู่	sentence	พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Continuous
ไหม	sentence	พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Question marker
คุณ	long phrase	คุณยังอ่านอยู่ไหม	khun yang àan yùu mái	are you still reading?	Polite “you”
ยัง	long phrase	คุณยังอ่านอยู่ไหม	khun yang àan yùu mái	are you still reading?	Still
อ่าน	long phrase	คุณยังอ่านอยู่ไหม	khun yang àan yùu mái	are you still reading?	Read
อยู่	long phrase	คุณยังอ่านอยู่ไหม	khun yang àan yùu mái	are you still reading?	Ongoing action
ไหม	long phrase	คุณยังอ่านอยู่ไหม	khun yang àan yùu mái	are you still reading?	Yes/no question
พวก	sentence	พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Future + question pattern
เขา	sentence	พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Future + question pattern
จะ	sentence	พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Future marker
ไป	sentence	พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Go (and)
วิ่ง	sentence	พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Run/jog
ไหม	sentence	พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Question marker
