THAI	ROMANIZATION	DEFINITION	NOTES
อะไร	a-rai	what	General “what”; can stand alone as a question (อะไร?) or follow a noun
ที่ไหน	thîi năi	where	“At what place”; common for “where?” questions
เมื่อไหร่	mûa-rài	when	“When?” (past or future); often written เมื่อไร in text
ใคร	khrai	who	Same word for “who” as subject or object
ไหน	năi	which / which one	Used after the noun or alone for “which one?”
ทำไม	tham-mai	why	General “why?”; works in most situations
ยังไง	yang ngai	how	Very common casual spoken “how?”
ได้	dâai	can / possible / okay	Used with verbs and in questions like …ได้ไหม to ask “can / is it okay?”
หรือ	rĕu	or? / or	“Or” between choices; also appears at the end of a sentence as a softer question
เท่าไหร่	thâo-rài	how much / how many	Often used alone with money or amounts (เท่าไหร่? = how much?)
กี่	gìi	how many	Must be followed by a classifier (e.g., กี่คน, กี่เล่ม)
คะ	khá	polite particle (female)	Used at the end of most questions by women or when calling someone (rising tone)
ก็	gôr	also; then; so	Flexible linker; in ไหนก็ได้ it helps give the meaning “whichever / any is fine”
