Thai Script Word	Type	Thai Script Phrase	Romanization	Definition	Notes
ไหน	long phrase	ไหนก็ได้	năi gôr dâai	whichever / any is fine	Choice is open; “any is okay”
ก็	long phrase	ไหนก็ได้	năi gôr dâai	whichever / any is fine	Connects ไหน and ได้; makes the phrase natural
ได้	long phrase	ไหนก็ได้	năi gôr dâai	whichever / any is fine	ได้ here = acceptable / okay
ได้	long phrase	ได้ไหมครับ	dâai mái khráp	can (I/you)? / is it okay?	Male polite question
ไหม	long phrase	ได้ไหมครับ	dâai mái khráp	can (I/you)? / is it okay?	Yes–no question particle
ครับ	long phrase	ได้ไหมครับ	dâai mái khráp	can (I/you)? / is it okay?	Male polite particle
ได้	long phrase	ได้ไหมคะ	dâai mái khá	can (I/you)? / is it okay?	Female polite question
ไหม	long phrase	ได้ไหมคะ	dâai mái khá	can (I/you)? / is it okay?	Yes–no question particle
คะ	long phrase	ได้ไหมคะ	dâai mái khá	can (I/you)? / is it okay?	Female polite particle (question)
คุณ	long phrase	คุณทำอะไรอยู่	khun tham à-rai yùu	what are you doing?	Polite “you”
ทำ	long phrase	คุณทำอะไรอยู่	khun tham à-rai yùu	what are you doing?	Verb “do / make”
อะไร	long phrase	คุณทำอะไรอยู่	khun tham à-rai yùu	what are you doing?	“what”
อยู่	long phrase	คุณทำอะไรอยู่	khun tham à-rai yùu	what are you doing?	Marks ongoing action (present continuous)
เรา	long phrase	เราจะไปไหน	rao jà bpai năi	where are we going?	เรา = we; can be “I” casually
จะ	long phrase	เราจะไปไหน	rao jà bpai năi	where are we going?	Future / intention marker
ไป	long phrase	เราจะไปไหน	rao jà bpai năi	where are we going?	Go
ไหน	long phrase	เราจะไปไหน	rao jà bpai năi	where are we going?	“where / which place”
คุณ	long phrase	คุณจะไปเมื่อไหร่	khun jà bpai mûa-rài	when will you go?	Polite “you”
จะ	long phrase	คุณจะไปเมื่อไหร่	khun jà bpai mûa-rài	when will you go?	“will / going to”
ไป	long phrase	คุณจะไปเมื่อไหร่	khun jà bpai mûa-rài	when will you go?	Go
เมื่อไหร่	long phrase	คุณจะไปเมื่อไหร่	khun jà bpai mûa-rài	when will you go?	“when”
ใคร	long phrase	ใครจะเล่น	khrai jà lên	who will play?	“who?”
จะ	long phrase	ใครจะเล่น	khrai jà lên	who will play?	Future marker “will”
เล่น	long phrase	ใครจะเล่น	khrai jà lên	who will play?	Verb “play”
ทำไม	long phrase	ทำไมคุณกินแล้ว	tham-mai khun gin láew	why did you eat already?	“why?”
คุณ	long phrase	ทำไมคุณกินแล้ว	tham-mai khun gin láew	why did you eat already?	Polite “you”
กิน	long phrase	ทำไมคุณกินแล้ว	tham-mai khun gin láew	why did you eat already?	Verb “eat”
แล้ว	long phrase	ทำไมคุณกินแล้ว	tham-mai khun gin láew	why did you eat already?	Marks completion / “already”
คุณ	sentence	คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang-ngai	how are you still walking?!	Polite “you”
ยัง	sentence	คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang-ngai	how are you still walking?!	“still / yet”
เดิน	sentence	คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang-ngai	how are you still walking?!	Verb “walk”
อยู่	sentence	คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang-ngai	how are you still walking?!	Continuous marker
ได้	sentence	คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang-ngai	how are you still walking?!	“can / able to”
ยังไง	sentence	คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang-ngai	how are you still walking?!	Casual “how?”
คุณ	long phrase	คุณวิ่งไหม	khun wîng mái	did you run?	Yes/no; tense from context
วิ่ง	long phrase	คุณวิ่งไหม	khun wîng mái	did you run?	Verb “run / jog”
ไหม	long phrase	คุณวิ่งไหม	khun wîng mái	did you run?	Question particle
ผม	long phrase	ผมกินได้ไหม	phǒm gin dâai mái	can I eat?	Male “I”; women often use ฉัน
กิน	long phrase	ผมกินได้ไหม	phǒm gin dâai mái	can I eat?	Verb “eat”
ได้	long phrase	ผมกินได้ไหม	phǒm gin dâai mái	can I eat?	“can / allowed to”
ไหม	long phrase	ผมกินได้ไหม	phǒm gin dâai mái	can I eat?	Question particle
คุณ	long phrase	คุณกินเท่าไหร่	khun gin thâo-rài	how much did you eat?	Polite “you”
กิน	long phrase	คุณกินเท่าไหร่	khun gin thâo-rài	how much did you eat?	Verb “eat”
เท่าไหร่	long phrase	คุณกินเท่าไหร่	khun gin thâo-rài	how much did you eat?	“how much / how many”
