Thai Script Word	Type	Thai Script Phrase	Romanization	Definition	Notes
นั่ง	short phrase	นั่งตุ๊กตุ๊ก	nâng túk-túk	ride a tuk-tuk	Phrase used for riding in a tuk-tuk
ประเทศ	short phrase	ประเทศไทย	bprà-thêet thai	Thailand	Literally “country Thailand”
ไทย	short phrase	ประเทศไทย	bprà-thêet thai	Thailand	Component word meaning “Thai”
ประเทศ	short phrase	ประเทศอเมริกา	bprà-thêet a-mee-rí-gaa	America (USA)	“Country America”
อเมริกา	short phrase	ประเทศอเมริกา	bprà-thêet a-mee-rí-gaa	America (USA)	Country name “America / the U.S.”
ทั้ง	short phrase	ทั้งหมด	tháŋ mòt	all; in total	“Whole / entire”; part of ทั้งหมด
หมด	short phrase	ทั้งหมด	tháŋ mòt	all; in total	“Finished / all gone”; together = “all / in total”
โทรศัพท์	long phrase	โทรศัพท์อยู่ไหน	thoo-rá-sàp yùu năi	where is the phone?	Literally “phone be-at where?”
อยู่	long phrase	โทรศัพท์อยู่ไหน	thoo-rá-sàp yùu năi	where is the phone?	Location verb “to be (at/in)”
ไหน	long phrase	โทรศัพท์อยู่ไหน	thoo-rá-sàp yùu năi	where is the phone?	Question word “where / which (place)”
ทุก	short phrase	ทุกอย่าง	thúk yàang	everything	“Every”; together with อย่าง = “everything”
อย่าง	short phrase	ทุกอย่าง	thúk yàang	everything	“Kind / type / way”; here “every kind (of thing)”
กระเป๋า	short phrase	กระเป๋าสตางค์	grà-bpǎo sà-dtaang	wallet	Literally “bag”; part of the compound “money bag”
สตางค์	short phrase	กระเป๋าสตางค์	grà-bpǎo sà-dtaang	wallet	“Money / small change”; with กระเป๋า = “wallet”
