THAI	ROMANIZATION	DEFINITION	NOTES
อัน	an	classifier for things	General classifier for objects; can stand in when you don’t know the specific classifier
นี่	níi	this	“This” near the speaker; often follows the noun (บ้านนี้ = this house)
นั้น	nán	that	“That” further away or already mentioned
บ้าน	bâan	house; home	Common for both “house” and “home”
รถ	rót	car; vehicle	Can mean car or vehicle more generally
โทรศัพท์	thoo-rá-sàp	phone	Usually “telephone”; often just “phone”
หนังสือ	năng-sǔe	book	Any kind of book
โต๊ะ	dtó	table	Table or desk, depending on context
กุญแจ	gun-jae	key	Key for locks (house, car, etc.)
กระเป๋า	grà-bpǎo	bag; purse	Generic bag, purse, or backpack
รองเท้า	raawng-tháao	shoes	General word for shoes
สตางค์	sà-dtaang	satang (Thai coin; 1/100 baht)	Subunit of Thai baht; 100 สตางค์ = 1 บาท; mostly seen on price tags
เก้าอี้	gâo-îi	chair	Naturally pairs with โต๊ะ (table)
ประตู	bprà-dtuu	door	Door or gate depending on context
อเมริกา	a-mee-rí-gaa	America	Common everyday word for “America / the U.S.”
กรุงเทพฯ	grung-thêep	Bangkok	Short common form of กรุงเทพฯ; can also use full กรุงเทพมหานคร
ประเทศ	bprà-thêet	country	Used for countries in general; often before the country name
เมือง	meuang	city; town	City/town; also used in many place names
หมด	mòt	all; finished; used up	Core idea = “run out / be finished / all gone.” In ทั้งหมด (tháng mòt) it means “all of it / the whole amount.”
อย่าง	yàang	kind; type; way	Base meaning “kind/type” or “manner/way.” In ทุกอย่าง (thúk yàang) it’s “every kind (of thing)” → “everything.”
ทั้ง	tháŋ	all; whole; entire	Used for “the whole … / all (of)” (ทั้งวัน = the whole day, ทั้งบ้าน = the whole house)
ทุก	thúk	every; each	Basic “every/each” before classifiers or nouns (ทุกวัน = every day, ทุกคน = everyone)
ไทย	thai	Thai (person / Thai national)	Demonym “Thai”; also used as adjective (Thai food, Thai language, etc.) depending on context
