Thai Script Word	Type	Thai Script Phrase	Romanization	Definition	Notes
ผม	long phrase	ผมเป็นคนไทย	phǒm bpen khon thai	I am Thai	Polite male “I”; uses เป็น for identity
เป็น	long phrase	ผมเป็นคนไทย	phǒm bpen khon thai	I am Thai	เป็น = “to be” for identity/role
คน	long phrase	ผมเป็นคนไทย	phǒm bpen khon thai	I am Thai	คน = person
ไทย	long phrase	ผมเป็นคนไทย	phǒm bpen khon thai	I am Thai	ไทย = Thai (nationality)
คุณ	sentence	คุณเป็นคนอเมริกาไหม	khun bpen khon a-mee-rí-gaa mái	Are you American?	Polite “you”
เป็น	sentence	คุณเป็นคนอเมริกาไหม	khun bpen khon a-mee-rí-gaa mái	Are you American?	Identity “to be”
คน	sentence	คุณเป็นคนอเมริกาไหม	khun bpen khon a-mee-rí-gaa mái	Are you American?	“person” → “American person”
อเมริกา	sentence	คุณเป็นคนอเมริกาไหม	khun bpen khon a-mee-rí-gaa mái	Are you American?	America
ไหม	sentence	คุณเป็นคนอเมริกาไหม	khun bpen khon a-mee-rí-gaa mái	Are you American?	Yes–no question particle
คุณ	long phrase	คุณอยู่บ้านไหม	khun yùu bâan mái	Are you home?	Polite “you”
อยู่	long phrase	คุณอยู่บ้านไหม	khun yùu bâan mái	Are you home?	อยู่ = be (located / at)
บ้าน	long phrase	คุณอยู่บ้านไหม	khun yùu bâan mái	Are you home?	บ้าน = house / home
ไหม	long phrase	คุณอยู่บ้านไหม	khun yùu bâan mái	Are you home?	Yes–no question particle
นี่	short phrase	นี่คือโต๊ะ	nîi kheuu dtó	This is a table	นี่ = this
คือ	short phrase	นี่คือโต๊ะ	nîi kheuu dtó	This is a table	คือ = “to be” in definition/equation sense
โต๊ะ	short phrase	นี่คือโต๊ะ	nîi kheuu dtó	This is a table	โต๊ะ = table/desk
มัน	short phrase	มันเป็นหนังสือ	man bpen năng-sǔe	It is a book	มัน = it (for things/animals)
เป็น	short phrase	มันเป็นหนังสือ	man bpen năng-sǔe	It is a book	Identity “to be”
หนังสือ	short phrase	มันเป็นหนังสือ	man bpen năng-sǔe	It is a book	หนังสือ = book
คุณ	sentence	คุณจะอยู่บ้านเมื่อไหร่	khun jà yùu bâan mûa-rài	When will you be home?	Polite “you”
จะ	sentence	คุณจะอยู่บ้านเมื่อไหร่	khun jà yùu bâan mûa-rài	When will you be home?	จะ = future “will”
อยู่	sentence	คุณจะอยู่บ้านเมื่อไหร่	khun jà yùu bâan mûa-rài	When will you be home?	“be (located)”
บ้าน	sentence	คุณจะอยู่บ้านเมื่อไหร่	khun jà yùu bâan mûa-rài	When will you be home?	“home / house”
เมื่อไหร่	sentence	คุณจะอยู่บ้านเมื่อไหร่	khun jà yùu bâan mûa-rài	When will you be home?	Question word “when?”
