Thai Script Word	Type	Thai Script Phrase	Romanization	Definition	Notes
โทรศัพท์	sentence	โทรศัพท์ของคุณไหม	thoo-rá-sàp khǒng khun mái	Is that your phone?	Literally “phone of you (yes/no)?”
ของ	sentence	โทรศัพท์ของคุณไหม	thoo-rá-sàp khǒng khun mái	Is that your phone?	ของ marks possession “of / belonging to”
คุณ	sentence	โทรศัพท์ของคุณไหม	thoo-rá-sàp khǒng khun mái	Is that your phone?	Polite “you”
ไหม	sentence	โทรศัพท์ของคุณไหม	thoo-rá-sàp khǒng khun mái	Is that your phone?	Yes/no question particle
เรา	sentence	เราจะไปกรุงเทพฯ	rao jà bpai grung-thêep	We are going to Bangkok	เรา = we
จะ	sentence	เราจะไปกรุงเทพฯ	rao jà bpai grung-thêep	We are going to Bangkok	จะ = will / going to
ไป	sentence	เราจะไปกรุงเทพฯ	rao jà bpai grung-thêep	We are going to Bangkok	ไป = go
กรุงเทพฯ	sentence	เราจะไปกรุงเทพฯ	rao jà bpai grung-thêep	We are going to Bangkok	Common short form name for Bangkok
ความ	long phrase	ความเป็นเจ้าของ	khwaam bpen jâo-khǒng	ownership	ความ turns it into an abstract noun
เป็น	long phrase	ความเป็นเจ้าของ	khwaam bpen jâo-khǒng	ownership	เป็น = to be
เจ้า	long phrase	ความเป็นเจ้าของ	khwaam bpen jâo-khǒng	ownership	Root for “owner”
ของ	long phrase	ความเป็นเจ้าของ	khwaam bpen jâo-khǒng	ownership	Possessive “of / belonging to”
ฉัน	long phrase	ฉันทำเอง	chǎn tham eeng	I did it myself	ฉัน = I (more common for women / formal)
ทำ	long phrase	ฉันทำเอง	chǎn tham eeng	I did it myself	ทำ = do / make
เอง	long phrase	ฉันทำเอง	chǎn tham eeng	I did it myself	เอง adds “myself / on my own”
เก้าอี้	long phrase	เก้าอี้ของฉัน	gâo-îi khǒng chǎn	my chair	Literally “chair of me”
ของ	long phrase	เก้าอี้ของฉัน	gâo-îi khǒng chǎn	my chair	Marks possession
ฉัน	long phrase	เก้าอี้ของฉัน	gâo-îi khǒng chǎn	my chair	“I / me”
กระเป๋า	long phrase	กระเป๋าสตางค์ของคุณ	grà-bpǎo sà-dtaang khǒng khun	your wallet	กระเป๋าสตางค์ = “money bag” (wallet); here “wallet of you”
สตางค์	long phrase	กระเป๋าสตางค์ของคุณ	grà-bpǎo sà-dtaang khǒng khun	your wallet	สตางค์ = satang; part of the compound “wallet”
ของ	long phrase	กระเป๋าสตางค์ของคุณ	grà-bpǎo sà-dtaang khǒng khun	your wallet	Possession marker
คุณ	long phrase	กระเป๋าสตางค์ของคุณ	grà-bpǎo sà-dtaang khǒng khun	your wallet	Polite “you”
ชื่อ	long phrase	ชื่อของฉัน	chûue khǒng chǎn	my name	Literally “name of me”
ของ	long phrase	ชื่อของฉัน	chûue khǒng chǎn	my name	Possession marker
ฉัน	long phrase	ชื่อของฉัน	chûue khǒng chǎn	my name	“I / me”
ทุก	long phrase	ทุกอย่างของเรา	thúk yàang khǒng rao	all of our things	ทุก = every; with อย่าง and ของเรา → “all of our things”
อย่าง	long phrase	ทุกอย่างของเรา	thúk yàang khǒng rao	all of our things	อย่าง = kind/type; ทุกอย่าง = every kind (everything)
ของ	long phrase	ทุกอย่างของเรา	thúk yàang khǒng rao	all of our things	ของ marks possession “of / belonging to”
เรา	long phrase	ทุกอย่างของเรา	thúk yàang khǒng rao	all of our things	เรา = we / us; here “our”
ประเทศ	long phrase	ประเทศของฉัน	bprà-thêet khǒng chǎn	my country	ประเทศ = country
ของ	long phrase	ประเทศของฉัน	bprà-thêet khǒng chǎn	my country	Possession marker “of”
ฉัน	long phrase	ประเทศของฉัน	bprà-thêet khǒng chǎn	my country	ฉัน = I / me
บ้าน	long phrase	บ้านของคุณ	bâan khǒng khun	your house	บ้าน = house / home
ของ	long phrase	บ้านของคุณ	bâan khǒng khun	your house	Possession marker
คุณ	long phrase	บ้านของคุณ	bâan khǒng khun	your house	Polite “you”
รถ	long phrase	รถของเขา	rót khǒng kháo	their car	รถ = car / vehicle
ของ	long phrase	รถของเขา	rót khǒng kháo	their car	Possession marker
เขา	long phrase	รถของเขา	rót khǒng kháo	their car	เขา can mean he/she/they; here translated as “their”
เก้าอี้	long phrase	เก้าอี้ของเขา	gâo-îi khǒng kháo	his chair	เก้าอี้ = chair
ของ	long phrase	เก้าอี้ของเขา	gâo-îi khǒng kháo	his chair	Possession marker
เขา	long phrase	เก้าอี้ของเขา	gâo-îi khǒng kháo	his chair	เขา = he/she/they; here translated as “his”
