THAI	ROMANIZATION	DEFINITION	NOTES	Roots
THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
คุณ	khun	you (polite)	Polite, gender-neutral “you,” used with adults/strangers.	
ผม	phǒm	I (male)	First-person pronoun mainly for male speakers; polite/neutral.	
ฉัน	chǎn	I (female)	First-person pronoun mainly for female speakers; can sound soft/polite.	
ค่ะ	khâ	polite particle (female)	Sentence-final polite particle for female speakers; written ค่ะ in statements, คะ in questions.	
ครับ	khráp	polite particle (male)	Sentence-final polite particle for male speakers; polite/formal.	
ทำ	tham	do; make	Common verb “to do; to make.”	
ดี	dii	good	Adjective “good; well.”	
แล้ว	lɛ́ɛo	already; then	Can mean “already” or link clauses as “then / and then.”	
ล่ะ	là	(what) about…?	Sentence-final particle used in “And … ? / What about … ?”	
ไหม	mǎi	yes–no question particle	Sentence-final particle turning a statement into a yes–no question.	
สบายดีไหม	sà-baai dii mǎi	Are you well? / How are you?	Very common question; literally “comfortable good (question particle).” Often used with คุณ implied.	สบาย, ดี, ไหม
สบายดีค่ะ	sà-baai dii khâ	I’m fine (female)	Polite female reply to “How are you?” Literally “comfortable good (polite).”	สบาย, ดี, ค่ะ
สบายดีครับ	sà-baai dii khráp	I’m fine (male)	Polite male reply to “How are you?”	สบาย, ดี, ครับ
แล้วคุณล่ะ	lɛ́ɛo khun là	And you?	Used after answering a question: “And you?”	แล้ว, คุณ, ล่ะ
ไม่ครับ	mâi khráp	no (male, polite)	Male speaker saying “no”; uses ไม่ “not” + polite particle.	ไม่, ครับ
ไม่ค่ะ	mâi khâ	no (female, polite)	Female speaker saying “no.”	ไม่, ค่ะ
