THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
กิน	gin	eat	Very common everyday verb; can also mean “to eat/drink” in casual speech	
ไป	bpai	go	Used for going/heading somewhere; often combined with time/place words	
จะ	jà	will	Future marker placed before a verb (จะไป, จะกิน); also used to express intention	
เดิน	dern	walk	Used for walking or going on foot	
เล่น	lên	play	Used for playing games, sports, instruments, or casually using things (เล่นมือถือ = be on your phone)	
นั่ง	nâng	sit	To sit; also used for “ride as a passenger” (นั่งรถ = ride in a car)	
ยืน	yuun	stand	To stand; contrasts with นั่ง (sit)	
วิ่ง	wîng	run	To run/jog	
อ่าน	àan	read	To read (books, messages, etc.)	
เขียน	khǐan	write	To write/draw; used for writing text or sometimes drawing simple things	
จะไป	jà bpai	will go	Basic future verb phrase: จะ (will) + ไป (go); can add destination/time after it.	จะ, ไป
ไปวิ่ง	bpai wîng	go (to) run	Pattern: ไป + วิ่ง; commonly used for going somewhere to run/jog for exercise.	ไป, วิ่ง
ไปเดิน	bpai dern	go (to) walk	Pattern: ไป + เดิน; used for going for a walk or stroll.	ไป, เดิน
ผมจะไป	phǒm jà bpai	I (male) will go	Male speaker; polite/neutral. ผม (I, male) + จะ (will) + ไป (go).	ผม, จะ, ไป
ฉันจะไป	chǎn jà bpai	I (female) will go	Female speaker; polite/neutral. ฉัน (I, female) + จะ (will) + ไป (go).	ฉัน, จะ, ไป
