THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
คน	khon	person	General word for a person; also used as the classifier for people.	
เพื่อนๆ	phûean phûean	friends	Reduplication of เพื่อน to emphasize plural “friends / all my friends.”	เพื่อน
เด็ก	dèk	child; kid	General word for child/kid; can be singular or plural from context.	
เด็กๆ	dèk dèk	children; kids	Reduplication of เด็ก to emphasize “kids / children.”	เด็ก, เด็ก
ผู้	phûu	person who…	Prefix meaning “person who…” used in words like ผู้ชาย, ผู้หญิง.	
ชาย	chaai	man; male	“Male / man”; appears in ผู้ชาย, ลูกชาย.	
หญิง	yǐng	woman; female	“Female / woman”; appears in ผู้หญิง, เด็กผู้หญิง.	
แม่	mâe	mother	Mom/mother; very common everyday word.	
พ่อ	phâw	father	Dad/father; very common everyday word.	
ลูก	lûuk	child; offspring	Someone’s child (son or daughter); “offspring.”	
สาว	sǎao	young woman; girl	“Young woman / girl”; appears in ลูกสาว.	
ไทย	thai	Thai	“Thai” as nationality/ethnicity (used in คนไทย).	
อเมริกัน	a-mee-rí-gan	American	“American”; used in คนอเมริกัน.	
ผู้ชาย	phûu chaai	man; male person	Literally “male person”; also used for “boy” from teen age upward.	ผู้, ชาย
ผู้หญิง	phûu yǐng	woman; female person	Literally “female person”; also used for “girl” from teen age upward.	ผู้, หญิง
เด็กผู้ชาย	dèk phûu chaai	boy	Literally “child (who is) male”; specifically “boy.”	เด็ก, ผู้ชาย, ผู้, ชาย
เด็กผู้หญิง	dèk phûu yǐng	girl	Literally “child (who is) female”; specifically “girl.”	เด็ก, ผู้หญิง, ผู้, หญิง
ลูกชาย	lûuk chaai	son	Literally “male child”; “son.”	ลูก, ชาย
ลูกสาว	lûuk sǎao	daughter	Literally “female child”; “daughter.”	ลูก, สาว
ทุกคน	thúk khon	everyone; everybody	Literally “every person”; “everyone / everybody.”	ทุก, คน
คนไทย	khon thai	Thai person; Thai people	Can be singular or plural from context: “Thai person / Thai people.”	คน, ไทย
คนอเมริกัน	khon a-mee-rí-gan	American; Americans	“American person / American people.”	คน, อเมริกัน
เด็กทุกคน	dèk thúk khon	all the kids	Literally “every child/person”; “all the kids.”	เด็ก, ทุก, คน
