THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
ช่วย	chûai	help; to help	Verb “to help / assist”; used a lot in requests: ช่วย…หน่อย	
อยาก	yàak	want (to do)	Used before a verb: อยากกิน, อยากไป, อยากช่วย	
ต้อง	dtông	must; have to	Shows necessity/obligation: ต้องไป = have to go	
ต้องการ	dtông gaan	need; want	Slightly more formal “want/need,” often with nouns or help	
ความช่วยเหลือ	khwaam chûai-lʉ̌a	help; assistance (noun)	Noun “help/assistance”; more formal than just ช่วย	ความ, ช่วย, เหลือ
เหลือ	lʉ̌a	to remain; be left (over)	“To be left / remain”; root in ความช่วยเหลือ	
ผมอยากช่วยคุณ	phǒm yàak chûai khun	I want to help you (male)	Male speaker; object “you” is คุณ	ผม, อยาก, ช่วย, คุณ
ฉันอยากช่วยคุณ	chǎn yàak chûai khun	I want to help you (female)	Female speaker version	ฉัน, อยาก, ช่วย, คุณ
คุณต้องการอะไร	khun dtông gaan à-rai	what do you need?	Literally “you need what?”; polite	คุณ, ต้องการ, อะไร
คุณอยากได้อะไร	khun yàak dâai à-rai	what do you want?	“Want to get/receive what?” – asking what someone wants	คุณ, อยาก, ได้, อะไร
ผมช่วยคุณได้ยังไง	phǒm chûai khun dâai yang ngai	how can I help? (male)	Literally “I help you can how?”	ผม, ช่วย, คุณ, ได้, ยังไง
คุณช่วยผมได้ไหม	khun chûai phǒm dâai mái	will you help me? (male speaker)	Also “can you help me?”; polite	คุณ, ช่วย, ผม, ได้, ไหม
คุณช่วยฉันได้ไหม	khun chûai chǎn dâai mái	will you help me? (female speaker)	Same pattern with ฉัน	คุณ, ช่วย, ฉัน, ได้, ไหม
ช่วยผมหน่อยได้ไหม	chûai phǒm nòi dâai mái	will you help me a bit? (male)	หน่อย softens the request: “please help me a bit”	ช่วย, ผม, หน่อย, ได้, ไหม
ช่วยด้วย	chûai dûuai	help!	Shouted when calling for help; also softer as “please help”	ช่วย, ด้วย
คุณอยากช่วยไหม	khun yàak chûai mái	do you want to help?	Asks if they want to help (not just can)	คุณ, อยาก, ช่วย, ไหม
ผมต้องไปช่วยเขา	phǒm dtông bpai chûai kháo	I have to go help him/her (male)	Combines ต้อง (must), ไป (go), ช่วย (help)	ผม, ต้อง, ไป, ช่วย, เขา
ฉันต้องการความช่วยเหลือ	chǎn dtông gaan khwaam chûai-lʉ̌a	I need help (female, formal)	Literally “I need help/assistance”	ฉัน, ต้องการ, ความช่วยเหลือ
