THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
ศูนย์	sǔun	0 (zero)	Number zero.	
หนึ่ง	nʉ̀ng	1 (one)	Base number one; changes to เอ็ด in some positions.	
สอง	sǎawng	2 (two)	Base number two.	
สาม	sǎam	3 (three)	Base number three.	
สี่	sìi	4 (four)	Base number four.	
ห้า	hâa	5 (five)	Base number five.	
หก	hòk	6 (six)	Base number six.	
เจ็ด	jèt	7 (seven)	Base number seven.	
แปด	bpàaet	8 (eight)	Base number eight.	
เก้า	gâo	9 (nine)	Base number nine.	
สิบ	sìp	10 (ten)	Base word for “ten”; used to build teens and tens.	
ยี่	yîi	“yi” form of 2	Special “two” form only used in 20s (ยี่สิบ, ยี่สิบเอ็ด, etc.).	
เอ็ด	èt	“ed” form of 1	Special “one” form used in 11, 21, 31, etc. (สิบเอ็ด, ยี่สิบเอ็ด…).	
ร้อย	rɔ́ɔi	100 (hundred)	Base word for “hundred.” 100 = หนึ่งร้อย / ร้อย.	
พัน	phan	1,000 (thousand)	Base word for “thousand.”	
หมื่น	mʉ̀ʉn	10,000 (ten thousand)	Base word for “ten thousand.”	
แสน	sǎen	100,000 (hundred thousand)	Base word for “hundred thousand.”	
ล้าน	láan	1,000,000 (million)	Base word for “million.”	
สิบเอ็ด	sìp èt	11 (eleven)	10 + special 1; สิบ + เอ็ด.	สิบ, เอ็ด
สิบสี่	sìp sìi	14 (fourteen)	10 + 4; สิบ + สี่.	สิบ, สี่
ยี่สิบ	yîi sìp	20 (twenty)	“yi” + ten; ยี่ + สิบ.	ยี่, สิบ
ยี่สิบเอ็ด	yîi sìp èt	21 (twenty-one)	20 + special 1; ยี่สิบ + เอ็ด.	ยี่, สิบ, เอ็ด
ยี่สิบหก	yîi sìp hòk	26 (twenty-six)	20 + 6.	ยี่, สิบ, หก
สามสิบสอง	sǎam sìp sǎawng	32 (thirty-two)	30 + 2.	สาม, สิบ, สอง
สามสิบเก้า	sǎam sìp gâo	39 (thirty-nine)	30 + 9.	สาม, สิบ, เก้า
สี่สิบเจ็ด	sìi sìp jèt	47 (forty-seven)	40 + 7.	สี่, สิบ, เจ็ด
