THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
เวลา	wee-laa	time; hour	General word for “time”; also used in questions about time (เวลาเท่าไหร่).	
นาฬิกา	naa-lí-gaa	clock; watch	Clock or watch; in formal time-telling can follow numbers (เช่น 14 นาฬิกา).	
ตอน	dtaawn	time period; at (time)	Used before parts of the day (ตอนเช้า, ตอนเย็น) = “in the …”.	
เช้า	cháo	morning	Early day, roughly sunrise to late morning.	
เที่ยง	thîiang	noon	12:00 midday; “noon.”	
บ่าย	bàai	afternoon	After noon, ~1–3 pm; used in บ่ายสองโมง, บ่ายสามโมง.	
เย็น	yen	evening; late afternoon	About 4–6 pm; used in สี่โมงเย็น, หกโมงเย็น.	
คืน	kʉʉn	night	Night; used in กลางคืน, เที่ยงคืน.	
กลางคืน	glaang-kʉʉn	night time	Literally “middle of the night”; the nighttime period.	กลาง, คืน
เที่ยงคืน	thîiang-kʉʉn	midnight	12:00 at night; exactly midnight.	เที่ยง, คืน
กลาง	glaang	middle; center	Used in words like กลางคืน (nighttime), กลางวัน (daytime).	
โมง	moong	o’clock (spoken)	Classifier for hours in spoken Thai: หกโมง, สี่โมง, บ่ายสองโมง.	
ทุ่ม	thûm	o’clock at night	Used for 7–11 pm: หนึ่งทุ่ม (7 pm), สองทุ่ม (8 pm), etc.	
นาที	naa-thii	minute	Unit for “minute”; follows numbers (ห้านาที, สิบนาที).	
ครึ่ง	khrʉ̂ng	half	In time, “:30” (โมงครึ่ง, ทุ่มครึ่ง).	
ตอนเช้า	dtaawn-cháo	in the morning	Time period “in the morning.”	ตอน, เช้า
ตอนเย็น	dtaawn-yen	in the evening	Time period “in the evening / late afternoon.”	ตอน, เย็น
ตอนกลางคืน	dtaawn-glaang-kʉʉn	at night	Time period “at night.”	ตอน, กลางคืน, กลาง, คืน
หกโมงเช้า	hòk moong cháo	6:00 am	Normal spoken way to say 6 am.	หก, โมง, เช้า
หกโมงยี่สิบนาที	hòk moong yîi sìp naa-thii	6:20 am	“six o’clock twenty minutes.”	หก, โมง, ยี่, สิบ, นาที
สิบโมงสามสิบสี่นาที	sìp moong sǎam sìp sìi naa-thii	10:34 am	10 o’clock 34 minutes.	สิบ, โมง, สาม, สิบ, สี่, นาที
สิบเอ็ดโมงเช้า	sìp-èt moong cháo	11:00 am	11 am in the morning.	สิบ, เอ็ด, โมง, เช้า
สิบเอ็ดโมงครึ่ง	sìp-èt moong khrʉ̂ng	11:30 am	“eleven o’clock half.”	สิบ, เอ็ด, โมง, ครึ่ง
เที่ยงสิบห้านาที	thîiang sìp-hâa naa-thii	12:15 pm	12:15 (quarter past noon).	เที่ยง, สิบ, ห้า, นาที
เที่ยงห้าสิบเอ็ดนาที	thîiang hâa sìp èt naa-thii	12:51 pm	12:51 in the afternoon.	เที่ยง, ห้า, สิบ, เอ็ด, นาที
บ่ายสองโมงครึ่ง	bàai sǎawng moong khrʉ̂ng	2:30 pm	“afternoon two o’clock half.”	บ่าย, สอง, โมง, ครึ่ง
บ่ายสองโมงสี่สิบห้านาที	bàai sǎawng moong sìi sìp hâa naa-thii	2:45 pm	2:45 in the afternoon.	บ่าย, สอง, โมง, สี่, สิบ, ห้า, นาที
บ่ายสามโมง	bàai sǎam moong	3:00 pm	“afternoon three o’clock.”	บ่าย, สาม, โมง
บ่ายสามโมงสิบเก้านาที	bàai sǎam moong sìp gâo naa-thii	3:19 pm	3:19 in the afternoon.	บ่าย, สาม, โมง, สิบ, เก้า, นาที
สี่โมงเย็น	sìi moong yen	4:00 pm	4 pm in the evening.	สี่, โมง, เย็น
สี่โมงครึ่ง	sìi moong khrʉ̂ng	4:30 pm	4:30 (half past four).	สี่, โมง, ครึ่ง
สี่โมงสี่สิบสี่นาที	sìi moong sìi sìp sìi naa-thii	4:44 pm	4:44 in the afternoon/evening.	สี่, โมง, สี่, สิบ, สี่, นาที
หกโมงเย็น	hòk moong yen	6:00 pm	6 pm in the evening.	หก, โมง, เย็น
หกโมงหนึ่งนาที	hòk moong nʉ̀ng naa-thii	6:01 pm	6:01 pm.	หก, โมง, หนึ่ง, นาที
หกโมงสามสิบเอ็ดนาที	hòk moong sǎam sìp èt naa-thii	6:31 pm	6:31 pm.	หก, โมง, สาม, สิบ, เอ็ด, นาที
หนึ่งทุ่ม	nʉ̀ng thûm	7:00 pm	7 pm at night (one “thûm”).	หนึ่ง, ทุ่ม
หนึ่งทุ่มครึ่ง	nʉ̀ng thûm khrʉ̂ng	7:30 pm	7:30 pm.	หนึ่ง, ทุ่ม, ครึ่ง
สองทุ่ม	sǎawng thûm	8:00 pm	8 pm at night.	สอง, ทุ่ม
สามทุ่ม	sǎam thûm	9:00 pm	9 pm at night.	สาม, ทุ่ม
สี่ทุ่ม	sìi thûm	10:00 pm	10 pm at night.	สี่, ทุ่ม
