THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
งาน	ngaan	event; function; work	General “event / function”; also means “work,” but here focus on events.	
งานเลี้ยง	ngaan líang	party; banquet	Social gathering/party, often with food/drinks.	งาน, เลี้ยง
ฉลอง	chà-lɔ̌ɔng	to celebrate	Verb “to celebrate”; used with events, birthdays, success.	
วัน	wan	day	Unit “day”; used in many compounds (วันนี้, วันเกิด).	
สัปดาห์	sàp-daa	week	Formal word for “week.”	
เดือน	dʉan	month	Unit “month.”	
ปี	pii	year	Unit “year.”	
เมื่อวาน	mʉ̂a-waan	yesterday	“Yesterday”; can also hear เมื่อวานนี้.	
วันนี้	wan-níi	today	“Today”; literally “this day.”	
พรุ่งนี้	phrûng-níi	tomorrow	“Tomorrow”; literally “next day.”	
หน้า	nâa	next; upcoming	Used after time words: ปีหน้า (next year), เดือนหน้า (next month).	
ที่แล้ว	thîi lɛ́ɛo	last; previous	Used after time words: ปีที่แล้ว (last year).	
จันทร์	jan	Monday	Short form of วันจันทร์.	
อังคาร	ang-khaan	Tuesday	Short form of วันอังคาร.	
พุธ	phút	Wednesday	Short form of วันพุธ.	
พฤหัสบดี	phá-rʉ́-hàt-sà-bɔɔ-dii	Thursday	Short form of วันพฤหัสบดี.	
ศุกร์	sùk	Friday	Short form of วันศุกร์.	
เสาร์	săo	Saturday	Short form of วันเสาร์.	
อาทิตย์	aa-thít	Sunday	Short form of วันอาทิตย์.	
วันจันทร์	wan jan	Monday	Literally “day Monday.”	วัน, จันทร์
วันอังคาร	wan ang-khaan	Tuesday	“day Tuesday.”	วัน, อังคาร
วันพุธ	wan phút	Wednesday	“day Wednesday.”	วัน, พุธ
วันพฤหัสบดี	wan phá-rʉ́-hàt-sà-bɔɔ-dii	Thursday	“day Thursday.”	วัน, พฤหัสบดี
วันศุกร์	wan sùk	Friday	“day Friday.”	วัน, ศุกร์
วันเสาร์	wan săo	Saturday	“day Saturday.”	วัน, เสาร์
วันอาทิตย์	wan aa-thít	Sunday	“day Sunday.”	วัน, อาทิตย์
มกราคม	má-ga-raa-kom	January	Month name.	
กุมภาพันธ์	gum-phaa-pan	February	Month name.	
มีนาคม	mii-naa-kom	March	Month name.	
เมษายน	mee-sǎa-yon	April	Month name.	
พฤษภาคม	phrʉ́t-sà-paa-kom	May	Month name.	
มิถุนายน	mí-thoo-naa-yon	June	Month name.	
กรกฎาคม	ga-rá-ga-daa-kom	July	Month name.	
สิงหาคม	sǐng-hǎa-kom	August	Month name.	
กันยายน	gan-yaa-yon	September	Month name.	
ตุลาคม	dtù-laa-kom	October	Month name.	
พฤศจิกายน	phrʉ́t-sà-jì-gaa-yon	November	Month name.	
ธันวาคม	than-waa-kom	December	Month name.	
ปฏิทิน	bpà-dtì-tin	calendar	Wall/phone calendar.	
อายุ	aa-yú	age	Someone’s age in years.	
วันเกิด	wan-gə̀ət	birthday	Literally “day of birth.”	วัน, เกิด
สวัสดี	sà-wàt-dii	hello	Used in greetings; combine with time of day (สวัสดีตอนเช้า).	
เมื่อวานตอนเช้า	mʉ̂a-waan dtaawn-cháo	yesterday morning	Literally “yesterday at-morning.”	เมื่อวาน, ตอน, เช้า
เมื่อวานตอนบ่าย	mʉ̂a-waan dtaawn-bàai	yesterday afternoon	“yesterday at-afternoon.”	เมื่อวาน, ตอน, บ่าย
เมื่อวานตอนเย็น	mʉ̂a-waan dtaawn-yen	yesterday evening	“yesterday at-evening.”	เมื่อวาน, ตอน, เย็น
เมื่อคืน	mʉ̂a-kʉʉn	last night	Common way to say “last night.”	
สวัสดีตอนเช้า	sà-wàt-dii dtaawn-cháo	good morning	Greeting used in the morning.	สวัสดี, ตอน, เช้า
เช้านี้	cháo-níi	this morning	Literally “this morning.”	เช้า, นี้
บ่ายนี้	bàai-níi	this afternoon	“this afternoon.”	บ่าย, นี้
เย็นนี้	yen-níi	this evening	“this evening / tonight (early evening).”	เย็น, นี้
คืนนี้	kʉʉn-níi	tonight	“this night.”	คืน, นี้
พรุ่งนี้ตอนเช้า	phrûng-níi dtaawn-cháo	tomorrow morning	“tomorrow at-morning.”	พรุ่งนี้, ตอน, เช้า
พรุ่งนี้ตอนบ่าย	phrûng-níi dtaawn-bàai	tomorrow afternoon	“tomorrow at-afternoon.”	พรุ่งนี้, ตอน, บ่าย
พรุ่งนี้ตอนเย็น	phrûng-níi dtaawn-yen	tomorrow evening	“tomorrow at-evening.”	พรุ่งนี้, ตอน, เย็น
พรุ่งนี้ตอนกลางคืน	phrûng-níi dtaawn-glaang-kʉʉn	tomorrow night	Literally “tomorrow at night-time.”	พรุ่งนี้, ตอน, กลางคืน
สัปดาห์ที่แล้ว	sàp-daa thîi lɛ́ɛo	last week	“week that passed = last week.”	สัปดาห์, ที่แล้ว
สัปดาห์หน้า	sàp-daa nâa	next week	“week next = next week.”	สัปดาห์, หน้า
เดือนที่แล้ว	dʉan thîi lɛ́ɛo	last month	“month that passed.”	เดือน, ที่แล้ว
เดือนหน้า	dʉan nâa	next month	“month next.”	เดือน, หน้า
ปีที่แล้ว	pii thîi lɛ́ɛo	last year	“year that passed.”	ปี, ที่แล้ว
ปีหน้า	pii nâa	next year	“year next.”	ปี, หน้า
