THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
ทำ	tham	do; make	Basic verb “to do/make”; combines with the markers below (กำลังทำ, ทำอยู่, ทำแล้ว, จะทำ)	
กำลัง	kam-lang	in the middle of (doing)	Marks ongoing action; usually before the verb (กำลังทำ = am doing)	
อยู่	yùu	continuous marker at the end of a sentence	At end of the clause to show ongoing action (ทำอยู่ = am doing it right now)	
แล้ว	láew	already; then	After the verb to show completion (ทำแล้ว = already did it)	
ยัง	yang	still; yet	With ไม่ for “not yet” (ยังไม่ทำ = haven’t done yet); alone can mean “still”	
เคย	kheeuy	ever; used to	Before verb for past experience/habit (เคยทำ = have done before / used to do)	
เพิ่ง	phôeng	just; just now	Before verb for “just did” (เพิ่งทำ = just did it recently)	
เดี๋ยว	dĭao	soon; in a moment	Often with จะ for near future (เดี๋ยวจะทำ = I’ll do it in a moment)	
กำลังกิน	kam-lang gin	I am eating	กำลัง before a verb marks an action happening right now (present continuous)	กำลัง, กิน
ยังกินอยู่	yang gin yùu	I am still eating	ยัง before the verb = “still”; shows action not finished	ยัง, กิน, อยู่
กินแล้ว	gin láew	I already ate	แล้ว after the verb marks completion / “already”	กิน, แล้ว
จะไปกิน	jà bpai gin	I will go eat	จะ before a verb = “will / going to” (future or intention)	จะ, ไป, กิน
จะไปวิ่ง	jà bpai wîng	I will go run	Same future marker จะ = “will”	จะ, ไป, วิ่ง
วิ่งแล้ว	wîng láew	I already ran	Base verb “run”; past/completed because of แล้ว	วิ่ง, แล้ว
นั่งแล้ว	nâng láew	I already sat	Verb “sit”; can also mean “sat down already”	นั่ง, แล้ว
