THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
เรา	rao	we / us	Used by any gender; in casual speech can also mean “I / me” with close people.	
เขา	kháo	he / she	Gender-neutral “he / she / they (singular)”; context gives the gender.	
พวก	phûak	group of… / plural marker	Put before a pronoun or noun to make it plural (พวกเขา, พวกเรา, พวกคุณ).	
มัน	man	it	Refers to things/animals; can sound impolite or dismissive if used for people.	
พวกคุณ	phûak khun	you all	Plural polite “you all / you guys,” using พวก + คุณ.	พวก, คุณ
พวกเรา	phûak rao	we all	“All of us / our group,” using พวก + เรา.	พวก, เรา
พวกเขา	phûak kháo	they	“They / those people,” using พวก + เขา.	พวก, เขา
เราจะไปวิ่ง	rao jà bpai wîng	we will go running	Shows เรา as “we” plus จะ (will), ไป (go), วิ่ง (run) for a future plan.	เรา, จะ, ไป, วิ่ง
พวกเขายังเดินอยู่	phûak kháo yang dern yùu	they are still walking	Uses พวกเขา with ยัง…อยู่ to show “still” doing the action.	พวก, เขา, ยัง, เดิน, อยู่
พวกคุณยังกินอยู่ไหม	phûak khun yang gin yùu mái	are all of you still eating?	Plural polite “you” with ยัง…อยู่ for “still” and ไหม for a yes/no question.	พวก, คุณ, ยัง, กิน, อยู่, ไหม
คุณยังอ่านอยู่ไหม	khun yang àan yùu mái	are you still reading?	Uses คุณ (polite “you”) with ยัง…อยู่ and ไหม to ask if the action is still happening.	คุณ, ยัง, อ่าน, อยู่, ไหม
พวกเขาจะไปวิ่งไหม	phûak kháo jà bpai wîng mái	are they going to go running?	Combines พวกเขา with future marker จะ, ไป, วิ่ง and ไหม for a yes/no question.	พวก, เขา, จะ, ไป, วิ่ง, ไหม
