THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
อะไร	a-rai	what	General “what”; can stand alone as a question (อะไร?) or follow a noun	
ที่ไหน	thîi năi	where	“At what place”; common for “where?” questions	
เมื่อไหร่	mûa-rài	when	“When?” (past or future); often written เมื่อไร in text	
ใคร	khrai	who	Same word for “who” as subject or object	
ไหน	năi	which / which one	Used after the noun or alone for “which one?”	
ทำไม	tham-mai	why	General “why?”; works in most situations	
ยังไง	yang ngai	how	Very common casual spoken “how?”	
ได้	dâai	can / possible / okay	Used with verbs and in questions like …ได้ไหม ?	
หรือ	rĕu	or? / or	“Or” between choices; also appears at the end of a question	
เท่าไหร่	thâo-rài	how much / how many	Often used alone with money or amounts (เท่าไหร่?)	
กี่	gìi	how many	Must be followed by a classifier (e.g., กี่คน, กี่อัน)	
คะ	khá	polite particle (female)	Used at the end of most questions by women or in feminine politeness	
ก็	gôr	also; then; so	Flexible linker; in ไหนก็ได้ it helps give the “any is fine” feeling	
ไหนก็ได้	năi gôr dâai	whichever / any is fine	Choice is open; “any is okay”	ไหน, ก็, ได้
ได้ไหมครับ	dâai mái khráp	can (I/you)? / is it okay?	Male polite question	ได้, ไหม, ครับ
ได้ไหมคะ	dâai mái khá	can (I/you)? / is it okay?	Female polite question	ได้, ไหม, คะ
คุณทำอะไรอยู่	khun tham à-rai yùu	what are you doing?	Ongoing action; polite “you”	คุณ, ทำ, อะไร, อยู่
เราจะไปไหน	rao jà bpai năi	where will we go?	เรา = we/us here	เรา, จะ, ไป, ไหน
คุณจะไปเมื่อไหร่	khun jà bpai mûa-rài	when will you go?	Polite “you”; future with จะ	คุณ, จะ, ไป, เมื่อไหร่
ใครจะเล่น	khrai jà lên	who will play?	ใคร as subject “who”	ใคร, จะ, เล่น
ทำไมคุณกินแล้ว	tham-mai khun gin láew	why did you already eat?	แล้ว marks completed action “already”	ทำไม, คุณ, กิน, แล้ว
คุณยังเดินอยู่ได้ยังไง	khun yang dern yùu dâai yang ngai	how can you still be walking?	ยัง…อยู่ = still doing; ยังไง = how	คุณ, ยัง, เดิน, อยู่, ได้, ยังไง
คุณวิ่งไหม	khun wîng mái	did you run?	Yes/no; tense from context	คุณ, วิ่ง, ไหม
ผมกินได้ไหม	phǒm gin dâai mái	can I eat?	Male “I”; women often use ฉัน	ผม, กิน, ได้, ไหม
คุณกินเท่าไหร่	khun gin thâo-rài	how much did you eat?	Polite “you”	คุณ, กิน, เท่าไหร่
ก็ได้	gôr dâai	that’s fine; okay; either is fine	Used to accept a suggestion or show that any option works; can sound neutral, casual, or slightly reluctant depending on tone. Often follows a choice, e.g. อันนี้ก็ได้ = “this one is fine too.”	ก็, ได้
