THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
เหนื่อย	nùeai	tired	Feeling tired/exhausted, physically or mentally.	
หิว	hǐu	hungry	“Hungry”; often used in หิวข้าว (hungry for food).	
อิ่ม	ìm	full	“Full / have eaten enough”; opposite of หิว.	
ป่วย	bùai	sick	“Sick / ill”; used for being unwell in general.	
ร้อน	ráawn	hot	Hot (temperature, weather, or feeling hot).	
หนาว	năao	cold	Cold (temperature, weather, or feeling cold).	
ว่าง	wâang	free; not busy	“Free / available”; opposite of ยุ่ง.	
ยุ่ง	yûng	busy	“Busy / tied up (with work, tasks, etc.).”	
พร้อม	phróom	ready	“Ready / prepared”; often used with แล้ว to mean “all set now.”	
มาก	mâak	very; a lot	Intensifier meaning “very / a lot.”	
เป็น	bpen	to be (am / is / are)	Copula for identity/roles/characteristics (เป็นหมอ, เป็นคนไทย); not used for locations.	
คือ	khʉʉ	to be; is (equals)	Equative “is/equals”; used in explanations and definitions (นี่คือ…, ปัญหาคือ…).	
อยู่	yùu	be (located); live; be (in a state)	For locations (“be at”), living somewhere, or ongoing state; also combines with ยัง for “still.”	
ผมหิว	phǒm hǐu	I’m hungry (male)	Male speaker saying “I’m hungry.”	ผม, หิว
ฉันหิว	chǎn hǐu	I’m hungry (female)	Female speaker saying “I’m hungry.”	ฉัน, หิว
ผมเหนื่อย	phǒm nùeai	I’m tired (male)	Male speaker; can be physically or mentally tired.	ผม, เหนื่อย
ฉันเหนื่อย	chǎn nùeai	I’m tired (female)	Female speaker; same pattern as above.	ฉัน, เหนื่อย
ผมอิ่มแล้ว	phǒm ìm láew	I’m full already (male)	แล้ว marks completion / “already.”	ผม, อิ่ม, แล้ว
ผมป่วย	phǒm bùai	I’m sick (male)	Simple statement of being ill.	ผม, ป่วย
ผมไม่สบาย	phǒm mâi sà-baai	I’m not well (male)	Literally “I not comfortable/well”; polite/common way to say you’re unwell.	ผม, ไม่, สบาย
คุณหิวไหม	khun hǐu mái	are you hungry?	Polite “you”; ไหม makes it a yes–no question.	คุณ, หิว, ไหม
คุณเหนื่อยไหม	khun nùeai mái	are you tired?	Polite question about tiredness.	คุณ, เหนื่อย, ไหม
ร้อนมาก	ráawn mâak	very hot	Often used for weather or how someone feels: “It’s very hot.”	ร้อน, มาก
หนาวมาก	năao mâak	very cold	“It’s very cold / I’m very cold.”	หนาว, มาก
ผมยุ่งมาก	phǒm yûng mâak	I’m very busy (male)	Adds มาก to intensify “busy.”	ผม, ยุ่ง, มาก
ผมว่าง	phǒm wâang	I’m free / I’m not busy (male)	Can mean free now or generally not busy; context gives time.	ผม, ว่าง
ผมพร้อมแล้ว	phǒm phróom láew	I’m ready now (male)	พร้อมแล้ว = “ready now / all set already.”	ผม, พร้อม, แล้ว
คุณเป็นอะไร	khun bpen à-rai	what’s wrong with you?	Very common pattern: “what’s the matter?” literally “you are what?”	คุณ, เป็น, อะไร
ผมยังอยู่	phǒm yang yùu	I’m still here (male)	ยัง + อยู่ = “still be (here / around).”	ผม, ยัง, อยู่
คุณยังอยู่ไหม	khun yang yùu mái	are you still here?	Uses ยังอยู่ for “still here” and ไหม for a yes–no question.	คุณ, ยัง, อยู่, ไหม
