THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
ของ	khǒng	of; belonging to	Core possessive marker; links owner to thing (บ้านของฉัน = my house).	
เอง	eeng	self; own	Adds sense of “oneself / (one’s) own” or emphasis (ทำเอง = do it myself).	
ตัวเอง	dtua eeng	oneself; (one’s) own	Stronger “self/own”; often used for “my own / your own / their own.”	
ชื่อ	chûue	name	Used for names; pattern: ชื่อของ… = “the name of …”.	
ความ	khwaam	abstract noun prefix	Turns verbs/adjectives into nouns (e.g., ความเป็นเจ้าของ = ownership).	
เจ้า	jâo	owner; master	Root in เจ้าของ “owner”; here as part of the idea of ownership.	
โทรศัพท์	thoo-rá-sàp	phone	Telephone / mobile phone.	
กรุงเทพฯ	grung-thêep	Bangkok	Capital city; often shortened from กรุงเทพมหานคร.	
เก้าอี้	gâo-îi	chair	A chair / seat.	
กระเป๋า	grà-bpǎo	bag	Bag, purse, backpack; container you carry.	
สตางค์	sà-dtaang	small change; money	Unit of currency; in กระเป๋าสตางค์ it’s part of “wallet.”	
ทุก	thúk	every; all	Used before classifier/noun (ทุกอย่าง, ทุกคน).	
ประเทศ	bprà-thêt	country	Country / nation.	
บ้าน	bâan	house; home	House, home, household.	
รถ	rót	car; vehicle	Car or other wheeled vehicle.	
โทรศัพท์ของคุณไหม	thoo-rá-sàp khǒng khun mái	is that your phone?	Literally “phone of you (yes/no)?”	โทรศัพท์, ของ, คุณ, ไหม
เราจะไปกรุงเทพฯ	rao jà bpai grung-thêep	we will go to Bangkok	Pattern = เรา (we) + จะไป (will go) + กรุงเทพฯ (Bangkok).	เรา, จะ, ไป, กรุงเทพฯ
ความเป็นเจ้าของ	khwaam bpen jâo khǒng	ownership	Abstract noun built from เป็น + เจ้า + ของ.	ความ, เป็น, เจ้า, ของ
ฉันทำเอง	chǎn tham eeng	I did it myself	Emphasizes that the speaker did it without help.	ฉัน, ทำ, เอง
เก้าอี้ของฉัน	gâo-îi khǒng chǎn	my chair	Literally “chair of me.”	เก้าอี้, ของ, ฉัน
กระเป๋าสตางค์ของคุณ	grà-bpǎo sà-dtaang khǒng khun	your wallet	Literally “money-bag of you”; shows possession clearly.	กระเป๋า, สตางค์, ของ, คุณ
ชื่อของฉัน	chûue khǒng chǎn	my name	Literally “name of me.”	ชื่อ, ของ, ฉัน
ทุกอย่างของเรา	thúk yàang khǒng rao	all of our things	ทุกอย่าง = everything; ของเรา = of us.	ทุก, อย่าง, ของ, เรา
ประเทศของฉัน	bprà-thêt khǒng chǎn	my country	“Country of me”; used for talking about your home country.	ประเทศ, ของ, ฉัน
บ้านของคุณ	bâan khǒng khun	your house	“House of you”; standard possession pattern.	บ้าน, ของ, คุณ
รถของเขา	rót khǒng khăo	his / her car	“Car of him/her”; เขา is gender-neutral.	รถ, ของ, เขา
เก้าอี้ของเขา	gâo-îi khǒng khăo	his / her chair	“Chair of him/her.”	เก้าอี้, ของ, เขา
