THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
ที่นี่	thîi nîi	here	Location word for “here / at this place.”	
ที่นั่น	thîi nân	there	Location word for “there / at that place (over there).”	
ทุกที่	thúk thîi	everywhere	Literally “every place”; means “everywhere.”	
ห้อง	hâwng	room	A room; used in compounds like ห้องนอน (bedroom), ห้องน้ำ (bathroom).	
ร้านอาหาร	ráan aa-hăan	restaurant	Literally “food shop”; restaurant or eatery.	
ฟิตเนส	fít-nét	gym; fitness center	Common loan word for “gym / fitness club.”	
ที่ทำงาน	thîi tham-ngaan	workplace; office	Literally “place of work”; workplace/office.	
เที่ยว	thîao	travel; go out for fun	To travel, go out, hang out for fun.	
วันหยุด	wan yùt	day off; vacation	Days off from work/school; a (short) vacation or break.	
มา	maa	come	Verb “to come”; often used with จาก “from.”	
จาก	jàak	from	Preposition “from,” used with places/people.	
กลับ	glàp	to return; go back	To go back/return to a place, often home.	
กลับบ้าน	glàp bâan	go back home	Very common phrase for “go home / return home.”	กลับ, บ้าน
บ้านเพื่อน	bâan phûean	friend’s house	Literally “friend’s house.”	บ้าน, เพื่อน
ไปบ้านเพื่อน	bpai bâan phûean	go to a friend’s house	Visiting a friend at their home.	ไป, บ้าน, เพื่อน
ไปฟิตเนส	bpai fít-nét	go to the gym	Going to work out at the gym/fitness center.	ไป, ฟิตเนส
ไปเที่ยว	bpai thîao	go travel; go out	General “go travel / go out to have fun.”	ไป, เที่ยว
ไปเที่ยววันหยุด	bpai thîao wan yùt	go on vacation	Literally “go travel on days off”; natural way to say “go on vacation.”	ไป, เที่ยว, วันหยุด
ผมอยู่ที่นี่	phǒm yùu thîi nîi	I’m here (male)	Male speaker; อยู่ marks location/state.	ผม, อยู่, ที่นี่
ฉันอยู่ที่นี่	chǎn yùu thîi nîi	I’m here (female)	Female speaker; same pattern as above.	ฉัน, อยู่, ที่นี่
เขาอยู่ที่นั่น	kháo yùu thîi nân	he / she is there	Uses ที่นั่น for “over there.”	เขา, อยู่, ที่นั่น
ผมอยู่บ้าน	phǒm yùu bâan	I’m at home (male)	Saying you are at home.	ผม, อยู่, บ้าน
ฉันอยู่ที่ทำงาน	chǎn yùu thîi tham-ngaan	I’m at work (female)	“I am at the workplace / office.”	ฉัน, อยู่, ที่ทำงาน
เราเที่ยวทุกที่	rao thîao thúk thîi	we travel everywhere	Slightly hyperbolic “we go/travel everywhere.”	เรา, เที่ยว, ทุกที่
คุณมาจากที่ไหน	khun maa jàak thîi năi	where are you from?	Standard polite way to ask someone’s origin.	คุณ, มา, จาก, ที่ไหน
